suite,experiment,primitive,threads,cs_cycles,trial,ops_per_sec,mean_latency_ns,p50_ns,p95_ns,p99_ns,stddev_ns,cv_percent,throughput_ops,false_sharing_factor,fairness_gini,cpu_migrations,ctx_switches,notes
scalability,scalability,mutex,32,0,0,1170762.00,27637.30,5048.00,95187.00,171698.02,116149.08,420.26,3512286,0.00,0.00,-1,-1,"pinned"
scalability,scalability,mutex,32,0,1,1169207.00,27822.43,4540.00,92106.05,171178.01,159861.99,574.58,3507621,0.00,0.00,-1,-1,"pinned"
scalability,scalability,mutex,32,0,2,1188291.00,27184.94,4285.00,89979.05,166336.17,169708.13,624.27,3564873,0.00,0.00,-1,-1,"pinned"
scalability,scalability,mutex,32,0,3,1194767.67,27397.94,4087.00,91274.05,176346.03,175185.30,639.41,3584303,0.00,0.00,-1,-1,"pinned"
scalability,scalability,mutex,32,0,4,1256567.33,26239.85,3115.00,85065.05,166756.04,237671.12,905.76,3769702,0.00,0.00,-1,-1,"pinned"
scalability,scalability,mutex,32,0,5,1146603.67,28633.62,5241.00,88916.05,176358.06,162856.59,568.76,3439811,0.00,0.00,-1,-1,"pinned"
scalability,scalability,mutex,32,0,6,1158765.67,28381.52,5025.00,88704.00,171388.01,168371.58,593.24,3476297,0.00,0.00,-1,-1,"pinned"
scalability,scalability,mutex,32,0,7,1195609.33,27487.03,4397.00,93276.10,172081.07,170275.24,619.47,3586828,0.00,0.00,-1,-1,"pinned"
scalability,scalability,mutex,32,0,8,1179106.00,27837.81,4283.00,92794.15,170363.03,198558.52,713.27,3537318,0.00,0.00,-1,-1,"pinned"
scalability,scalability,mutex,32,0,9,1151464.67,28346.61,5127.00,94030.00,171427.03,134539.27,474.62,3454394,0.00,0.00,-1,-1,"pinned"
scalability,scalability,spinlock,16,0,0,1081311.33,16867.97,3766.00,30588.05,57197.01,407944.57,2418.46,3243934,0.00,0.00,-1,-1,"pinned"
scalability,scalability,spinlock,16,0,1,1022750.00,18200.43,4207.00,32862.05,59297.02,386680.23,2124.57,3068250,0.00,0.00,-1,-1,"pinned"
scalability,scalability,spinlock,16,0,2,1031119.00,18264.50,4169.00,31998.00,58657.02,349000.09,1910.81,3093357,0.00,0.00,-1,-1,"pinned"
scalability,scalability,spinlock,16,0,3,971863.00,19181.92,4186.00,32607.00,58933.01,452744.76,2360.27,2915589,0.00,0.00,-1,-1,"pinned"
scalability,scalability,spinlock,16,0,4,1020180.33,19200.89,4256.00,33361.00,60309.08,430738.17,2243.32,3060541,0.00,0.00,-1,-1,"pinned"
scalability,scalability,spinlock,16,0,5,1032800.00,18873.68,4388.00,34090.05,60949.03,423172.18,2242.13,3098400,0.00,0.00,-1,-1,"pinned"
scalability,scalability,spinlock,16,0,6,1038775.00,18592.92,4420.00,34046.00,61354.00,439642.36,2364.57,3116325,0.00,0.00,-1,-1,"pinned"
scalability,scalability,spinlock,16,0,7,1127997.67,17168.87,4245.00,33839.00,60592.01,357058.91,2079.69,3383993,0.00,0.00,-1,-1,"pinned"
scalability,scalability,spinlock,16,0,8,997264.33,18752.65,4457.00,33685.00,60399.08,445753.56,2377.02,2991793,0.00,0.00,-1,-1,"pinned"
scalability,scalability,spinlock,16,0,9,1002570.67,18709.47,4370.00,33492.00,59834.01,433555.76,2317.31,3007712,0.00,0.00,-1,-1,"pinned"
scalability,scalability,spinlock,32,0,0,519492.67,73037.30,3817.00,31424.00,59194.88,1840491.69,2519.93,1558478,0.00,0.00,-1,-1,"pinned"
scalability,scalability,spinlock,32,0,1,611237.67,64424.97,3691.00,31280.00,58382.00,1690606.47,2624.15,1833713,0.00,0.00,-1,-1,"pinned"
scalability,scalability,spinlock,32,0,2,559661.33,68300.14,4086.00,32693.00,60608.85,1781731.88,2608.68,1678984,0.00,0.00,-1,-1,"pinned"
scalability,scalability,spinlock,32,0,3,573166.67,71742.84,3350.00,29524.00,56783.00,1782199.48,2484.15,1719500,0.00,0.00,-1,-1,"pinned"
scalability,scalability,spinlock,32,0,4,582318.33,67302.43,3975.00,32178.00,58978.38,1628043.46,2419.00,1746955,0.00,0.00,-1,-1,"pinned"
scalability,scalability,spinlock,32,0,5,616036.33,66769.44,3426.00,29970.00,56826.04,1671539.39,2503.45,1848109,0.00,0.00,-1,-1,"pinned"
scalability,scalability,spinlock,32,0,6,609769.00,61340.04,3497.00,31527.00,59929.28,1576794.55,2570.58,1829307,0.00,0.00,-1,-1,"pinned"
scalability,scalability,spinlock,32,0,7,517818.33,71776.41,3688.00,30585.00,59085.16,1780803.61,2481.04,1553455,0.00,0.00,-1,-1,"pinned"
scalability,scalability,spinlock,32,0,8,589782.33,67658.49,3872.00,31649.00,58774.88,1668834.22,2466.56,1769347,0.00,0.00,-1,-1,"pinned"
scalability,scalability,spinlock,32,0,9,516381.33,70327.55,3507.00,29624.75,56360.15,1699723.96,2416.87,1549144,0.00,0.00,-1,-1,"pinned"
scalability,scalability,mcs_lock,16,0,0,51890.00,308285.24,211017.00,552250.60,3522794.19,878898.60,285.09,155670,0.00,0.00,-1,-1,"pinned"
scalability,scalability,mcs_lock,16,0,1,52574.00,304730.43,211575.00,544256.90,3320119.09,644480.23,211.49,157722,0.00,0.00,-1,-1,"pinned"
scalability,scalability,mcs_lock,16,0,2,51502.67,310599.88,213472.00,633466.25,3060467.55,577014.68,185.77,154508,0.00,0.00,-1,-1,"pinned"
scalability,scalability,mcs_lock,16,0,3,59648.67,268179.34,211316.00,512012.25,2486318.10,481884.83,179.69,178946,0.00,0.00,-1,-1,"pinned"
scalability,scalability,mcs_lock,16,0,4,70026.00,228424.51,156106.50,464373.00,2220153.69,504606.96,220.91,210078,0.00,0.00,-1,-1,"pinned"
scalability,scalability,mcs_lock,16,0,5,59713.67,267882.65,210492.00,529044.00,2640116.00,518650.32,193.61,179141,0.00,0.00,-1,-1,"pinned"
scalability,scalability,mcs_lock,16,0,6,54193.67,295173.50,211344.00,630079.00,2858718.60,575102.33,194.84,162581,0.00,0.00,-1,-1,"pinned"
scalability,scalability,mcs_lock,16,0,7,52084.33,307135.35,211965.00,632841.40,2967192.24,567830.39,184.88,156253,0.00,0.00,-1,-1,"pinned"
scalability,scalability,mcs_lock,16,0,8,67903.00,235565.42,205724.00,528457.80,2421243.24,417017.83,177.03,203709,0.00,0.00,-1,-1,"pinned"
scalability,scalability,mcs_lock,16,0,9,55502.00,288216.07,211488.00,514798.00,3081107.70,529313.06,183.65,166506,0.00,0.00,-1,-1,"pinned"
scalability,scalability,mcs_lock,32,0,0,38971.33,821170.84,804660.50,1849449.60,4315655.00,864514.55,105.28,116914,0.00,0.00,-1,-1,"pinned"
scalability,scalability,mcs_lock,32,0,1,28636.00,1117440.51,912948.00,2473987.15,5426060.39,916117.01,81.98,85908,0.00,0.00,-1,-1,"pinned"
scalability,scalability,mcs_lock,32,0,2,36077.00,887004.42,825199.00,2190782.50,5631096.20,1116274.72,125.85,108231,0.00,0.00,-1,-1,"pinned"
scalability,scalability,mcs_lock,32,0,3,19534.33,1638131.36,937265.00,4682161.50,15276544.42,3672216.86,224.17,58603,0.00,0.00,-1,-1,"pinned"
scalability,scalability,mcs_lock,32,0,4,28461.67,1124373.74,946957.00,2424431.40,4526534.68,799639.86,71.12,85385,0.00,0.00,-1,-1,"pinned"
scalability,scalability,mcs_lock,32,0,5,21666.67,1476933.24,959228.50,6340261.25,10262746.93,2393216.50,162.04,65000,0.00,0.00,-1,-1,"pinned"
scalability,scalability,mcs_lock,32,0,6,25542.00,1252811.45,973873.00,3095530.50,6129019.50,1198959.23,95.70,76626,0.00,0.00,-1,-1,"pinned"
scalability,scalability,mcs_lock,32,0,7,27500.00,1163618.67,954686.50,2799695.50,5140076.05,1233597.94,106.01,82500,0.00,0.00,-1,-1,"pinned"
