suite,experiment,primitive,threads,cs_cycles,trial,ops_per_sec,mean_latency_ns,p50_ns,p95_ns,p99_ns,stddev_ns,cv_percent,throughput_ops,false_sharing_factor,fairness_gini,cpu_migrations,ctx_switches,notes
false_sharing,false_sharing,padded,1,0,6,728413824,0,0,0,0,0,0,0,1,0,-1,-1,placement=compact;smt=on;formula=slowdown=padded_throughput/false_shared_throughput
false_sharing,false_sharing,false_shared,1,0,7,728643424,0,0,0,0,0,0,0,1,0,-1,-1,placement=compact;smt=on;formula=slowdown=padded_throughput/false_shared_throughput
false_sharing,false_sharing,padded,1,0,7,728484990,0,0,0,0,0,0,0,1,0,-1,-1,placement=compact;smt=on;formula=slowdown=padded_throughput/false_shared_throughput
false_sharing,false_sharing,false_shared,1,0,8,728394106,0,0,0,0,0,0,0,1,0,-1,-1,placement=compact;smt=on;formula=slowdown=padded_throughput/false_shared_throughput
false_sharing,false_sharing,padded,1,0,8,727750438,0,0,0,0,0,0,0,1,0,-1,-1,placement=compact;smt=on;formula=slowdown=padded_throughput/false_shared_throughput
false_sharing,false_sharing,false_shared,1,0,9,728539006,0,0,0,0,0,0,0,1,0,-1,-1,placement=compact;smt=on;formula=slowdown=padded_throughput/false_shared_throughput
false_sharing,false_sharing,padded,1,0,9,728331774,0,0,0,0,0,0,0,1,0,-1,-1,placement=compact;smt=on;formula=slowdown=padded_throughput/false_shared_throughput
false_sharing,false_sharing,false_shared,1,0,10,728106992,0,0,0,0,0,0,0,1,0,-1,-1,placement=compact;smt=on;formula=slowdown=padded_throughput/false_shared_throughput
false_sharing,false_sharing,padded,1,0,10,728680012,0,0,0,0,0,0,0,1,0,-1,-1,placement=compact;smt=on;formula=slowdown=padded_throughput/false_shared_throughput
false_sharing,false_sharing,false_shared,1,0,1,728820844,0,0,0,0,0,0,0,1,0,-1,-1,placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput
