suite,experiment,primitive,threads,cs_cycles,trial,ops_per_sec,mean_latency_ns,p50_ns,p95_ns,p99_ns,stddev_ns,cv_percent,throughput_ops,false_sharing_factor,fairness_gini,cpu_migrations,ctx_switches,notes
false_sharing,false_sharing,false_shared,4,0,1,821954998.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.72,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,4,0,1,1414872174.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.72,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,4,0,2,959003330.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.49,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,4,0,2,1429976580.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.49,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,4,0,3,970211010.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.48,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,4,0,3,1432354298.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.48,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,4,0,4,985565338.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.45,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,4,0,4,1430979764.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.45,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,4,0,5,984971100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.45,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,4,0,5,1426348850.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.45,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,4,0,6,982614852.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.45,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,4,0,6,1425220906.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.45,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,4,0,7,982795684.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.45,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,4,0,7,1426353544.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.45,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,4,0,8,980705992.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.45,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,4,0,8,1422702144.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.45,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,4,0,9,984380110.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.45,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,4,0,9,1429127570.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.45,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,4,0,10,981808176.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.45,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,4,0,10,1424718568.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.45,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,8,0,1,666149566.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.37,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,8,0,1,1576981428.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.37,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,8,0,2,743928896.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.10,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,8,0,2,1560647218.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.10,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,8,0,3,742698454.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.11,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,8,0,3,1563462180.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.11,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,8,0,4,749873464.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.07,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,8,0,4,1550664430.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.07,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,8,0,5,744462190.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.09,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,8,0,5,1554148370.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.09,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,8,0,6,741177650.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.10,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,8,0,6,1554242792.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.10,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,8,0,7,746881094.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.08,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,8,0,7,1550336560.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.08,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,8,0,8,749654020.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.06,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,8,0,8,1543878466.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.06,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,8,0,9,748897894.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.06,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,8,0,9,1543938186.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.06,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,8,0,10,749521880.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.06,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,8,0,10,1541527128.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.06,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,12,0,1,759363164.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.06,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,12,0,1,1563324588.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.06,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,12,0,2,764403442.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.02,0.00,-1,-1,"placement=compact;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
