suite,experiment,primitive,threads,cs_cycles,trial,ops_per_sec,mean_latency_ns,p50_ns,p95_ns,p99_ns,stddev_ns,cv_percent,throughput_ops,false_sharing_factor,fairness_gini,fairness_jain,fairness_maxmin,fairness_cv,cpu_migrations,ctx_switches,notes
throughput,throughput_saturation,mcs_lock,4,500,7,1832893.80,2112.07,0.00,2164.00,2244.00,361.64,17.12,9164469,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mcs_lock,8,500,0,1799853.40,4369.36,0.00,4699.00,4969.00,1175.51,26.90,8999267,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mcs_lock,8,500,1,1822082.20,4320.02,0.00,4378.00,4498.00,537.90,12.45,9110411,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mcs_lock,8,500,2,1819745.60,4325.31,0.00,4388.00,4528.00,860.27,19.89,9098728,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mcs_lock,8,500,3,1819702.60,4325.10,0.00,4388.00,4538.00,802.99,18.57,9098513,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mcs_lock,8,500,4,1818917.40,4328.63,0.00,4398.00,4819.00,538.12,12.43,9094587,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mcs_lock,8,500,5,1819697.00,4327.11,0.00,4389.00,4488.00,784.70,18.13,9098485,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mcs_lock,8,500,6,1816282.20,4335.86,0.00,4388.00,4549.00,1074.78,24.79,9081411,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mcs_lock,8,500,7,1813541.00,4342.48,0.00,4408.00,4508.00,802.22,18.47,9067705,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mcs_lock,16,500,0,328578.00,48608.18,0.00,62117.00,91152.40,49105.89,101.02,1642890,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mcs_lock,16,500,1,138885.40,115646.67,0.00,95961.00,1110354.66,951722.08,822.96,694427,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mcs_lock,16,500,2,108340.80,148091.11,0.00,100499.00,873501.70,1479637.50,999.14,541704,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mcs_lock,16,500,3,242875.20,66541.75,0.00,63990.00,214574.09,532931.73,800.90,1214376,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mcs_lock,16,500,4,157786.00,101332.48,0.00,92254.00,310373.71,1724741.22,1702.06,788930,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mcs_lock,16,500,5,146314.40,109283.18,0.00,95169.00,701742.99,1014339.84,928.18,731572,0.00,0.00,0.00,0.00,0.00,-1,-1,""
